Restaurant_ID,Restaurant_Name,City,Locality,Cuisines,Restaurant_Type,Online_Order,Table_Booking,Rating,Votes,Approx_Cost_for_Two,Listed_In,Has_Parking,Is_Newly_Opened,Delivery_Time_mins,Rating_Category,Cost_Category,Engagement_Score
ZOM1034,Burger House (SG ),Ahmedabad,SG Highway,South Indian,Casual Dining,Yes,No,5.0,4749,1083,Dine-out,No,No,43,Excellent (4.5+),Premium (700-1500),42.33
ZOM1035,The Biryani Bowl (Whi),Bangalore,Whitefield,South Indian,Cafe,Yes,No,3.6,2003,841,Dine-out,No,No,71,Good (3.5-4.0),Premium (700-1500),27.37
ZOM1036,The Diner (Ali),Lucknow,Aliganj,Thai,Casual Dining,Yes,Yes,3.7,1296,1351,Delivery,Yes,No,78,Good (3.5-4.0),Premium (700-1500),26.52
ZOM1037,The Curry House (Con),Delhi,Connaught Place,Biryani,Fine Dining,Yes,Yes,2.5,2165,1501,Dine-out,Yes,No,21,Poor (<2.5),Luxury (1500+),19.2
ZOM1038,Urban Bites (Civ),Jaipur,Civil Lines,Fast Food,Casual Dining,No,Yes,4.0,859,1476,Delivery,Yes,No,0,Good (3.5-4.0),Premium (700-1500),27.03
ZOM1039,Chaat Corner (MG ),Bangalore,MG Road,Fast Food,Fine Dining,No,Yes,3.5,1712,4277,Desserts,No,Yes,0,Average (2.5-3.5),Luxury (1500+),26.06
ZOM1040,The Grill House (Con),Delhi,Connaught Place,Biryani,Fine Dining,Yes,Yes,4.2,1738,1702,Pubs and Bars,No,No,75,Very Good (4.0-4.5),Luxury (1500+),31.34
ZOM1041,The Biryani Bowl (Aun),Pune,Aundh,North Indian,Delivery Only,Yes,No,2.9,4223,600,Dine-out,Yes,No,57,Average (2.5-3.5),Mid-range (300-700),24.21
ZOM1042,South Kitchen (Laj),Delhi,Lajpat Nagar,Thai,Dhaba,Yes,No,3.9,2332,710,Dine-out,Yes,No,35,Good (3.5-4.0),Premium (700-1500),30.24
ZOM1043,Idli House (Kor),Pune,Koregaon Park,Chinese,Bakery,No,No,3.7,613,400,Dine-out,No,No,0,Good (3.5-4.0),Mid-range (300-700),23.75
ZOM1044,Desi Zaika (Kar),Delhi,Karol Bagh,North Indian,Food Court,Yes,No,5.0,1152,602,Desserts,No,No,86,Excellent (4.5+),Mid-range (300-700),35.25
ZOM1045,Green Leaf Cafe (Jub),Hyderabad,Jubilee Hills,North Indian,Cafe,Yes,No,3.8,151,1263,Dine-out,Yes,No,71,Good (3.5-4.0),Premium (700-1500),19.09
ZOM1046,The Diner (Beh),Kolkata,Behala,Thai,Dhaba,Yes,No,3.1,493,537,Delivery,Yes,No,20,Average (2.5-3.5),Mid-range (300-700),19.23
ZOM1047,Royal Feast (Jay),Bangalore,Jayanagar,Fast Food,Casual Dining,No,Yes,4.8,1807,872,Dine-out,No,Yes,0,Excellent (4.5+),Premium (700-1500),36.0
ZOM1048,Spice Garden (Kot),Pune,Kothrud,Italian,Delivery Only,No,No,3.0,4066,343,Delivery,No,No,0,Average (2.5-3.5),Mid-range (300-700),24.93
ZOM1049,South Kitchen (Bal),Kolkata,Ballygunge,South Indian,Bakery,Yes,No,4.2,628,771,Delivery,No,No,21,Very Good (4.0-4.5),Premium (700-1500),27.07
ZOM1050,Masala Magic (Mal),Jaipur,Malviya Nagar,Gujarati,Dhaba,No,No,4.4,3728,208,Dine-out,No,No,0,Very Good (4.0-4.5),Budget (<300),36.19
ZOM1051,The Diner (Hit),Hyderabad,Hitech City,Gujarati,Dhaba,Yes,No,3.8,3175,407,Pubs and Bars,No,No,22,Good (3.5-4.0),Mid-range (300-700),30.64
ZOM1052,Bombay Bites (Kot),Pune,Kothrud,North Indian,Delivery Only,Yes,No,3.9,4504,786,Desserts,No,No,55,Good (3.5-4.0),Premium (700-1500),32.81
ZOM1053,Saffron Kitchen (Pra),Ahmedabad,Prahlad Nagar,Mexican,Cafe,No,No,3.9,1450,503,Dine-out,No,Yes,0,Good (3.5-4.0),Mid-range (300-700),28.39
ZOM1054,Urban Bites (Nun),Chennai,Nungambakkam,Gujarati,Bakery,Yes,No,2.4,3928,672,Dine-out,Yes,No,44,Poor (<2.5),Mid-range (300-700),19.86
ZOM1055,Noodle Box (Kor),Bangalore,Koramangala,North Indian,Cafe,Yes,No,4.5,2966,1277,Desserts,No,No,85,Very Good (4.0-4.5),Premium (700-1500),35.98
ZOM1056,Taste of India (Vim),Pune,Viman Nagar,Continental,Cafe,Yes,No,3.8,2874,560,Delivery,No,No,87,Good (3.5-4.0),Mid-range (300-700),30.26
ZOM1057,Spice Garden (MG ),Bangalore,MG Road,Thai,Food Court,Yes,No,3.7,4498,476,Delivery,No,No,67,Good (3.5-4.0),Mid-range (300-700),31.12
ZOM1058,The Sandwich Shop (CG ),Ahmedabad,CG Road,Thai,Bakery,No,No,4.6,3992,394,Pubs and Bars,No,No,0,Excellent (4.5+),Mid-range (300-700),38.14
ZOM1059,Burger House (Civ),Jaipur,Civil Lines,Chinese,Food Court,Yes,No,3.2,4501,232,Dine-out,No,No,67,Average (2.5-3.5),Budget (<300),26.92
ZOM1060,The Curry House (Civ),Jaipur,Civil Lines,Gujarati,Cafe,No,No,5.0,4560,1445,Delivery,No,No,0,Excellent (4.5+),Premium (700-1500),42.13
ZOM1061,Tikka Town (Gac),Hyderabad,Gachibowli,Mughlai,Bakery,Yes,No,3.8,1698,237,Dine-out,Yes,No,70,Good (3.5-4.0),Budget (<300),28.26
ZOM1062,Urban Bites (Cam),Pune,Camp,Chinese,Cafe,No,No,3.6,2490,1197,Desserts,No,No,0,Good (3.5-4.0),Premium (700-1500),28.15
ZOM1063,Green Leaf Cafe (Kor),Pune,Koregaon Park,Italian,Dhaba,Yes,No,4.3,964,680,Pubs and Bars,No,No,88,Very Good (4.0-4.5),Mid-range (300-700),29.55
ZOM1064,The Kebab Studio (Juh),Mumbai,Juhu,Fast Food,Dhaba,No,No,3.0,3072,746,Pubs and Bars,No,No,0,Average (2.5-3.5),Premium (700-1500),24.09
ZOM1065,Noodle Box (Vas),Ahmedabad,Vastrapur,Fast Food,Dhaba,Yes,No,4.4,3125,711,Desserts,No,No,36,Very Good (4.0-4.5),Premium (700-1500),35.41
ZOM1066,Curry Leaf (HSR),Bangalore,HSR Layout,Chinese,Casual Dining,No,Yes,2.5,1248,917,Delivery,Yes,No,0,Poor (<2.5),Premium (700-1500),17.83
ZOM1067,The Curry House (HSR),Bangalore,HSR Layout,Chinese,Casual Dining,No,Yes,3.5,1065,679,Desserts,No,No,0,Average (2.5-3.5),Mid-range (300-700),24.4
ZOM1068,Dosa Point (Hin),Pune,Hinjewadi,Continental,Delivery Only,Yes,No,4.0,3425,298,Desserts,Yes,Yes,79,Good (3.5-4.0),Budget (<300),32.56
ZOM1069,The Sandwich Shop (Sal),Kolkata,Salt Lake,Gujarati,Quick Bites,Yes,No,3.6,1144,340,Delivery,Yes,No,51,Good (3.5-4.0),Mid-range (300-700),25.36
ZOM1070,Taste of India (Dad),Mumbai,Dadar,Chinese,Cafe,No,No,3.1,1189,965,Delivery,No,No,0,Average (2.5-3.5),Premium (700-1500),21.95
ZOM1071,The Food Factory (CG ),Ahmedabad,CG Road,Fast Food,Bakery,Yes,No,3.3,574,522,Dine-out,No,Yes,65,Average (2.5-3.5),Mid-range (300-700),20.97
ZOM1072,Green Leaf Cafe (Haz),Lucknow,Hazratganj,Fast Food,Dhaba,Yes,No,4.1,3868,354,Delivery,No,No,21,Very Good (4.0-4.5),Mid-range (300-700),33.87
ZOM1073,Idli House (Dwa),Delhi,Dwarka,Fast Food,Quick Bites,Yes,No,2.9,4062,422,Dine-out,No,No,52,Average (2.5-3.5),Mid-range (300-700),24.1
ZOM1074,The Grand Kitchen (Par),Kolkata,Park Street,Thai,Bakery,No,No,2.7,4346,737,Desserts,Yes,No,0,Average (2.5-3.5),Premium (700-1500),22.62
ZOM1075,The Pizza Place (Beh),Kolkata,Behala,Mexican,Fine Dining,Yes,Yes,3.0,1846,2420,Dine-out,No,No,43,Average (2.5-3.5),Luxury (1500+),22.56
ZOM1076,Masala Magic (Pra),Ahmedabad,Prahlad Nagar,Biryani,Delivery Only,Yes,No,2.9,529,711,Delivery,No,No,35,Average (2.5-3.5),Premium (700-1500),18.19
ZOM1077,Masala Magic (Hit),Hyderabad,Hitech City,Bengali,Dhaba,Yes,No,4.0,2706,670,Desserts,No,No,34,Good (3.5-4.0),Mid-range (300-700),31.61
ZOM1078,Masala Magic (Vas),Ahmedabad,Vastrapur,Mughlai,Delivery Only,Yes,No,5.0,4934,250,Pubs and Bars,No,No,44,Excellent (4.5+),Budget (<300),42.52
ZOM1079,Urban Bites (MI ),Jaipur,MI Road,Thai,Cafe,Yes,No,3.2,3774,974,Desserts,No,No,81,Average (2.5-3.5),Premium (700-1500),26.36
ZOM1080,Burger House (CG ),Ahmedabad,CG Road,Biryani,Food Court,Yes,No,3.8,1153,504,Delivery,No,No,71,Good (3.5-4.0),Mid-range (300-700),26.79
ZOM1081,The Diner (Cam),Pune,Camp,Italian,Delivery Only,Yes,No,3.8,4782,253,Desserts,No,No,79,Good (3.5-4.0),Budget (<300),32.2
ZOM1082,The Biryani Bowl (Cam),Pune,Camp,Thai,Bakery,No,No,4.8,2665,204,Dine-out,No,No,0,Excellent (4.5+),Budget (<300),37.86
ZOM1083,Masala Magic (Ban),Hyderabad,Banjara Hills,Biryani,Cafe,Yes,No,3.8,4874,1276,Pubs and Bars,No,No,66,Good (3.5-4.0),Premium (700-1500),32.27
ZOM1084,The Curry House (Jub),Hyderabad,Jubilee Hills,Biryani,Food Court,Yes,No,3.6,4369,257,Delivery,Yes,No,74,Good (3.5-4.0),Budget (<300),30.18
ZOM1085,The Grand Kitchen (Gac),Hyderabad,Gachibowli,Chinese,Delivery Only,Yes,No,3.4,1374,673,Dine-out,Yes,Yes,81,Average (2.5-3.5),Mid-range (300-700),24.57
ZOM1086,Olive Garden (Mal),Jaipur,Malviya Nagar,Biryani,Fine Dining,No,No,4.9,2843,3164,Delivery,No,No,0,Excellent (4.5+),Luxury (1500+),38.97
ZOM1087,The Food Factory (Pra),Ahmedabad,Prahlad Nagar,Mexican,Bakery,Yes,No,3.2,1086,712,Dine-out,No,Yes,53,Average (2.5-3.5),Premium (700-1500),22.37
ZOM1088,Punjabi Tadka (Kar),Delhi,Karol Bagh,Mexican,Quick Bites,Yes,No,3.9,564,341,Dine-out,Yes,No,82,Good (3.5-4.0),Mid-range (300-700),24.71
ZOM1089,South Kitchen (Hau),Delhi,Hauz Khas,South Indian,Dhaba,Yes,No,5.0,585,446,Pubs and Bars,No,No,86,Excellent (4.5+),Mid-range (300-700),31.87
ZOM1090,Bombay Bites (SG ),Ahmedabad,SG Highway,Bengali,Dhaba,Yes,No,2.9,3152,285,Pubs and Bars,No,Yes,76,Average (2.5-3.5),Budget (<300),23.36
ZOM1091,The Diner (Sec),Hyderabad,Secunderabad,Italian,Delivery Only,Yes,No,3.9,3361,419,Dine-out,Yes,No,88,Good (3.5-4.0),Mid-range (300-700),31.67
ZOM1092,The Pizza Place (MI ),Jaipur,MI Road,Chinese,Casual Dining,No,Yes,3.5,3123,617,Desserts,No,Yes,0,Average (2.5-3.5),Mid-range (300-700),28.16
ZOM1093,Food Junction (Gac),Hyderabad,Gachibowli,Biryani,Delivery Only,No,No,5.0,2484,540,Delivery,No,No,0,Excellent (4.5+),Mid-range (300-700),39.09
ZOM1094,The Pizza Place (Myl),Chennai,Mylapore,Bengali,Cafe,Yes,No,3.4,4651,756,Pubs and Bars,Yes,No,42,Average (2.5-3.5),Premium (700-1500),28.71
ZOM1095,The Food Factory (T N),Chennai,T Nagar,South Indian,Casual Dining,Yes,Yes,2.2,2854,1161,Pubs and Bars,No,No,38,Poor (<2.5),Premium (700-1500),17.51
ZOM1096,Food Junction (Kar),Delhi,Karol Bagh,Biryani,Delivery Only,No,No,5.0,2494,715,Dine-out,No,No,0,Excellent (4.5+),Premium (700-1500),39.11
ZOM1097,Tikka Town (Nav),Ahmedabad,Navrangpura,Bengali,Casual Dining,No,Yes,3.8,3092,1191,Pubs and Bars,No,Yes,0,Good (3.5-4.0),Premium (700-1500),30.54
ZOM1098,The Sandwich Shop (Hau),Delhi,Hauz Khas,Gujarati,Casual Dining,Yes,Yes,3.6,340,1295,Dine-out,No,No,51,Good (3.5-4.0),Premium (700-1500),20.99
ZOM1099,Olive Garden (T N),Chennai,T Nagar,Bengali,Dhaba,No,No,3.7,3551,579,Delivery,No,No,0,Good (3.5-4.0),Mid-range (300-700),30.25
ZOM1100,The Kebab Studio (Hin),Pune,Hinjewadi,Mughlai,Quick Bites,Yes,No,5.0,1573,250,Dine-out,No,No,31,Excellent (4.5+),Budget (<300),36.81
ZOM1101,Burger House (Myl),Chennai,Mylapore,Continental,Casual Dining,Yes,Yes,2.3,3918,1466,Dine-out,Yes,No,63,Poor (<2.5),Premium (700-1500),19.03
ZOM1102,The Pizza Place (MI ),Jaipur,MI Road,Gujarati,Food Court,Yes,No,3.4,4385,617,Dine-out,No,No,26,Average (2.5-3.5),Mid-range (300-700),28.51
ZOM1103,The Sandwich Shop (Ind),Lucknow,Indira Nagar,Gujarati,Food Court,Yes,No,3.8,3272,700,Dine-out,No,No,48,Good (3.5-4.0),Mid-range (300-700),30.76
ZOM1104,Royal Feast (Vel),Chennai,Velachery,Biryani,Food Court,Yes,No,3.3,733,593,Pubs and Bars,Yes,No,43,Average (2.5-3.5),Mid-range (300-700),21.78
ZOM1105,Urban Bites (Nun),Chennai,Nungambakkam,North Indian,Dhaba,Yes,No,4.3,2791,298,Delivery,No,Yes,55,Very Good (4.0-4.5),Budget (<300),34.12
ZOM1106,Saffron Kitchen (HSR),Bangalore,HSR Layout,Biryani,Delivery Only,Yes,No,4.1,2148,236,Desserts,No,No,31,Very Good (4.0-4.5),Budget (<300),31.46
ZOM1107,Green Leaf Cafe (Hit),Hyderabad,Hitech City,Thai,Fine Dining,Yes,Yes,3.6,3445,3048,Pubs and Bars,No,No,42,Good (3.5-4.0),Luxury (1500+),29.32
ZOM1108,Curry Leaf (Laj),Delhi,Lajpat Nagar,Continental,Bakery,Yes,No,4.6,2919,541,Delivery,No,No,32,Excellent (4.5+),Mid-range (300-700),36.7
ZOM1109,The Kebab Studio (Ami),Lucknow,Aminabad,Gujarati,Food Court,Yes,No,3.7,703,218,Desserts,No,No,68,Good (3.5-4.0),Budget (<300),24.26
ZOM1110,Burger House (New),Kolkata,New Town,Thai,Dhaba,Yes,No,4.0,400,583,Dine-out,No,No,71,Good (3.5-4.0),Mid-range (300-700),23.98
ZOM1111,Spice Garden (Ind),Lucknow,Indira Nagar,Italian,Dhaba,Yes,No,3.6,4951,705,Desserts,No,No,35,Good (3.5-4.0),Premium (700-1500),30.63
ZOM1112,Noodle Box (Cam),Pune,Camp,Gujarati,Fine Dining,Yes,No,3.8,4985,4495,Pubs and Bars,No,Yes,72,Good (3.5-4.0),Luxury (1500+),32.35
ZOM1113,The Grand Kitchen (Nav),Ahmedabad,Navrangpura,Thai,Food Court,Yes,No,3.1,3227,343,Desserts,No,No,76,Average (2.5-3.5),Mid-range (300-700),25.05
ZOM1114,South Kitchen (Kar),Delhi,Karol Bagh,Fast Food,Bakery,No,No,3.7,1067,597,Delivery,No,No,0,Good (3.5-4.0),Mid-range (300-700),25.8
ZOM1115,The Kebab Studio (Beh),Kolkata,Behala,Biryani,Food Court,Yes,No,3.1,3299,332,Pubs and Bars,Yes,No,54,Average (2.5-3.5),Mid-range (300-700),25.12
ZOM1116,The Pizza Place (T N),Chennai,T Nagar,Biryani,Quick Bites,Yes,No,3.1,737,225,Delivery,No,No,28,Average (2.5-3.5),Budget (<300),20.47
ZOM1117,Idli House (Ann),Chennai,Anna Nagar,North Indian,Bakery,Yes,No,3.5,958,691,Dine-out,No,No,36,Average (2.5-3.5),Mid-range (300-700),24.03
ZOM1118,Punjabi Tadka (Aun),Pune,Aundh,Italian,Dhaba,Yes,No,3.5,3329,367,Dine-out,Yes,Yes,61,Average (2.5-3.5),Mid-range (300-700),28.39
ZOM1119,Noodle Box (Ind),Lucknow,Indira Nagar,Bengali,Cafe,Yes,No,4.5,2998,1194,Dine-out,No,No,85,Very Good (4.0-4.5),Premium (700-1500),36.03
ZOM1120,Tikka Town (SG ),Ahmedabad,SG Highway,Gujarati,Casual Dining,No,Yes,2.6,1545,899,Pubs and Bars,Yes,Yes,0,Average (2.5-3.5),Premium (700-1500),19.09
ZOM1121,Olive Garden (SG ),Ahmedabad,SG Highway,Bengali,Delivery Only,No,No,3.8,1685,710,Dine-out,No,No,0,Good (3.5-4.0),Premium (700-1500),28.23
ZOM1122,Desi Zaika (Hit),Hyderabad,Hitech City,Mexican,Quick Bites,No,No,2.5,4317,401,Pubs and Bars,No,No,0,Poor (<2.5),Mid-range (300-700),20.93
ZOM1123,The Curry House (Ann),Chennai,Anna Nagar,Gujarati,Dhaba,Yes,No,4.4,3491,644,Pubs and Bars,No,Yes,73,Very Good (4.0-4.5),Mid-range (300-700),35.9
ZOM1124,The Sandwich Shop (Ali),Lucknow,Aliganj,Mexican,Delivery Only,Yes,No,4.3,2219,238,Pubs and Bars,No,No,86,Very Good (4.0-4.5),Budget (<300),33.13
ZOM1125,Olive Garden (Mad),Hyderabad,Madhapur,Fast Food,Fine Dining,Yes,Yes,3.6,4273,2152,Delivery,No,No,77,Good (3.5-4.0),Luxury (1500+),30.1
ZOM1126,Urban Bites (Dad),Mumbai,Dadar,Mughlai,Fine Dining,Yes,Yes,3.9,460,4572,Desserts,Yes,No,22,Good (3.5-4.0),Luxury (1500+),23.92
ZOM1127,Dosa Point (Jay),Bangalore,Jayanagar,Mughlai,Delivery Only,Yes,No,3.1,2001,547,Dine-out,No,No,81,Average (2.5-3.5),Mid-range (300-700),23.57
ZOM1128,Taste of India (Par),Kolkata,Park Street,Mexican,Quick Bites,Yes,No,2.7,509,461,Desserts,No,No,52,Average (2.5-3.5),Mid-range (300-700),16.83
ZOM1129,The Grill House (Kar),Delhi,Karol Bagh,North Indian,Delivery Only,Yes,No,3.1,138,257,Desserts,No,No,63,Average (2.5-3.5),Budget (<300),15.3
ZOM1130,Royal Feast (Ind),Lucknow,Indira Nagar,Gujarati,Bakery,Yes,No,3.7,4785,402,Desserts,Yes,No,55,Good (3.5-4.0),Mid-range (300-700),31.35
ZOM1131,Olive Garden (Gom),Lucknow,Gomti Nagar,Gujarati,Quick Bites,No,No,4.4,1255,296,Dine-out,No,No,0,Very Good (4.0-4.5),Budget (<300),31.4
ZOM1132,Bombay Bites (Hau),Delhi,Hauz Khas,North Indian,Casual Dining,No,No,5.0,3517,1055,Dine-out,No,No,0,Excellent (4.5+),Premium (700-1500),40.83
ZOM1133,Punjabi Tadka (Vim),Pune,Viman Nagar,Mughlai,Dhaba,Yes,No,4.0,475,211,Desserts,No,Yes,35,Good (3.5-4.0),Budget (<300),24.66
ZOM1134,Spice Garden (Man),Ahmedabad,Maninagar,Continental,Delivery Only,Yes,No,5.0,362,207,Dine-out,No,No,55,Excellent (4.5+),Budget (<300),29.47
ZOM1135,The Grill House (Gac),Hyderabad,Gachibowli,South Indian,Bakery,Yes,No,3.1,4190,515,Delivery,No,No,69,Average (2.5-3.5),Mid-range (300-700),25.86
ZOM1136,The Diner (Ban),Hyderabad,Banjara Hills,Mexican,Quick Bites,Yes,No,2.4,544,361,Pubs and Bars,Yes,Yes,48,Poor (<2.5),Mid-range (300-700),15.12
ZOM1137,Urban Bites (Sal),Kolkata,Salt Lake,Chinese,Cafe,Yes,No,4.0,2961,789,Pubs and Bars,Yes,No,88,Good (3.5-4.0),Premium (700-1500),31.97
ZOM1138,The Curry House (Sal),Kolkata,Salt Lake,Bengali,Casual Dining,Yes,Yes,3.8,1843,1428,Pubs and Bars,No,No,52,Good (3.5-4.0),Premium (700-1500),28.57
ZOM1139,The Grand Kitchen (Dwa),Delhi,Dwarka,North Indian,Fine Dining,Yes,Yes,4.4,4474,4636,Dine-out,No,No,37,Very Good (4.0-4.5),Luxury (1500+),36.99
ZOM1140,Taste of India (Ban),Mumbai,Bandra,Fast Food,Casual Dining,No,Yes,3.3,228,1226,Delivery,No,No,0,Average (2.5-3.5),Premium (700-1500),17.93
ZOM1141,Burger House (Ali),Kolkata,Alipore,Bengali,Quick Bites,Yes,No,4.7,4789,247,Pubs and Bars,Yes,No,20,Excellent (4.5+),Budget (<300),39.83
ZOM1142,Noodle Box (CG ),Ahmedabad,CG Road,North Indian,Casual Dining,No,Yes,3.7,409,1396,Delivery,No,No,0,Good (3.5-4.0),Premium (700-1500),22.26
ZOM1143,Urban Bites (Con),Delhi,Connaught Place,Mughlai,Fine Dining,Yes,No,3.7,3641,4224,Pubs and Bars,No,No,36,Good (3.5-4.0),Luxury (1500+),30.34
ZOM1144,Burger House (Kot),Pune,Kothrud,Thai,Delivery Only,No,No,3.8,2053,645,Delivery,No,Yes,0,Good (3.5-4.0),Mid-range (300-700),28.98
