Restaurant_ID,Restaurant_Name,City,Cuisines,Restaurant_Type,Rating,Votes,Approx_Cost_for_Two,Rating_Category,Cost_Category,Engagement_Score,Online_Order,Table_Booking
ZOM1029,The Pizza Place (Hin),Pune,Mexican,Delivery Only,4.2,3319,285,Very Good (4.0-4.5),Budget (<300),34.05,No,No
ZOM1030,Chaat Corner (Ban),Hyderabad,Bengali,Casual Dining,2.7,2630,1412,Average (2.5-3.5),Premium (700-1500),21.26,Yes,No
ZOM1031,Urban Bites (Dad),Mumbai,South Indian,Fine Dining,4.3,4896,2551,Very Good (4.0-4.5),Luxury (1500+),36.53,Yes,Yes
ZOM1032,South Kitchen (Gom),Lucknow,Bengali,Casual Dining,3.8,1368,589,Good (3.5-4.0),Mid-range (300-700),27.44,Yes,Yes
ZOM1033,Desi Zaika (T N),Chennai,Gujarati,Bakery,4.4,1311,458,Very Good (4.0-4.5),Mid-range (300-700),31.59,Yes,No
ZOM1034,Burger House (SG ),Ahmedabad,South Indian,Casual Dining,5.0,4749,1083,Excellent (4.5+),Premium (700-1500),42.33,Yes,No
ZOM1035,The Biryani Bowl (Whi),Bangalore,South Indian,Cafe,3.6,2003,841,Good (3.5-4.0),Premium (700-1500),27.37,Yes,No
ZOM1036,The Diner (Ali),Lucknow,Thai,Casual Dining,3.7,1296,1351,Good (3.5-4.0),Premium (700-1500),26.52,Yes,Yes
ZOM1037,The Curry House (Con),Delhi,Biryani,Fine Dining,2.5,2165,1501,Poor (<2.5),Luxury (1500+),19.2,Yes,Yes
ZOM1038,Urban Bites (Civ),Jaipur,Fast Food,Casual Dining,4.0,859,1476,Good (3.5-4.0),Premium (700-1500),27.03,No,Yes
ZOM1039,Chaat Corner (MG ),Bangalore,Fast Food,Fine Dining,3.5,1712,4277,Average (2.5-3.5),Luxury (1500+),26.06,No,Yes
ZOM1040,The Grill House (Con),Delhi,Biryani,Fine Dining,4.2,1738,1702,Very Good (4.0-4.5),Luxury (1500+),31.34,Yes,Yes
ZOM1041,The Biryani Bowl (Aun),Pune,North Indian,Delivery Only,2.9,4223,600,Average (2.5-3.5),Mid-range (300-700),24.21,Yes,No
ZOM1042,South Kitchen (Laj),Delhi,Thai,Dhaba,3.9,2332,710,Good (3.5-4.0),Premium (700-1500),30.24,Yes,No
ZOM1043,Idli House (Kor),Pune,Chinese,Bakery,3.7,613,400,Good (3.5-4.0),Mid-range (300-700),23.75,No,No
ZOM1044,Desi Zaika (Kar),Delhi,North Indian,Food Court,5.0,1152,602,Excellent (4.5+),Mid-range (300-700),35.25,Yes,No
ZOM1045,Green Leaf Cafe (Jub),Hyderabad,North Indian,Cafe,3.8,151,1263,Good (3.5-4.0),Premium (700-1500),19.09,Yes,No
ZOM1046,The Diner (Beh),Kolkata,Thai,Dhaba,3.1,493,537,Average (2.5-3.5),Mid-range (300-700),19.23,Yes,No
ZOM1047,Royal Feast (Jay),Bangalore,Fast Food,Casual Dining,4.8,1807,872,Excellent (4.5+),Premium (700-1500),36.0,No,Yes
ZOM1048,Spice Garden (Kot),Pune,Italian,Delivery Only,3.0,4066,343,Average (2.5-3.5),Mid-range (300-700),24.93,No,No
ZOM1049,South Kitchen (Bal),Kolkata,South Indian,Bakery,4.2,628,771,Very Good (4.0-4.5),Premium (700-1500),27.07,Yes,No
ZOM1050,Masala Magic (Mal),Jaipur,Gujarati,Dhaba,4.4,3728,208,Very Good (4.0-4.5),Budget (<300),36.19,No,No
ZOM1051,The Diner (Hit),Hyderabad,Gujarati,Dhaba,3.8,3175,407,Good (3.5-4.0),Mid-range (300-700),30.64,Yes,No
ZOM1052,Bombay Bites (Kot),Pune,North Indian,Delivery Only,3.9,4504,786,Good (3.5-4.0),Premium (700-1500),32.81,Yes,No
ZOM1053,Saffron Kitchen (Pra),Ahmedabad,Mexican,Cafe,3.9,1450,503,Good (3.5-4.0),Mid-range (300-700),28.39,No,No
ZOM1054,Urban Bites (Nun),Chennai,Gujarati,Bakery,2.4,3928,672,Poor (<2.5),Mid-range (300-700),19.86,Yes,No
ZOM1055,Noodle Box (Kor),Bangalore,North Indian,Cafe,4.5,2966,1277,Very Good (4.0-4.5),Premium (700-1500),35.98,Yes,No
ZOM1056,Taste of India (Vim),Pune,Continental,Cafe,3.8,2874,560,Good (3.5-4.0),Mid-range (300-700),30.26,Yes,No
ZOM1057,Spice Garden (MG ),Bangalore,Thai,Food Court,3.7,4498,476,Good (3.5-4.0),Mid-range (300-700),31.12,Yes,No
ZOM1058,The Sandwich Shop (CG ),Ahmedabad,Thai,Bakery,4.6,3992,394,Excellent (4.5+),Mid-range (300-700),38.14,No,No
ZOM1059,Burger House (Civ),Jaipur,Chinese,Food Court,3.2,4501,232,Average (2.5-3.5),Budget (<300),26.92,Yes,No
ZOM1060,The Curry House (Civ),Jaipur,Gujarati,Cafe,5.0,4560,1445,Excellent (4.5+),Premium (700-1500),42.13,No,No
ZOM1061,Tikka Town (Gac),Hyderabad,Mughlai,Bakery,3.8,1698,237,Good (3.5-4.0),Budget (<300),28.26,Yes,No
ZOM1062,Urban Bites (Cam),Pune,Chinese,Cafe,3.6,2490,1197,Good (3.5-4.0),Premium (700-1500),28.15,No,No
ZOM1063,Green Leaf Cafe (Kor),Pune,Italian,Dhaba,4.3,964,680,Very Good (4.0-4.5),Mid-range (300-700),29.55,Yes,No
ZOM1064,The Kebab Studio (Juh),Mumbai,Fast Food,Dhaba,3.0,3072,746,Average (2.5-3.5),Premium (700-1500),24.09,No,No
ZOM1065,Noodle Box (Vas),Ahmedabad,Fast Food,Dhaba,4.4,3125,711,Very Good (4.0-4.5),Premium (700-1500),35.41,Yes,No
ZOM1066,Curry Leaf (HSR),Bangalore,Chinese,Casual Dining,2.5,1248,917,Poor (<2.5),Premium (700-1500),17.83,No,Yes
ZOM1067,The Curry House (HSR),Bangalore,Chinese,Casual Dining,3.5,1065,679,Average (2.5-3.5),Mid-range (300-700),24.4,No,Yes
ZOM1068,Dosa Point (Hin),Pune,Continental,Delivery Only,4.0,3425,298,Good (3.5-4.0),Budget (<300),32.56,Yes,No
ZOM1069,The Sandwich Shop (Sal),Kolkata,Gujarati,Quick Bites,3.6,1144,340,Good (3.5-4.0),Mid-range (300-700),25.36,Yes,No
ZOM1070,Taste of India (Dad),Mumbai,Chinese,Cafe,3.1,1189,965,Average (2.5-3.5),Premium (700-1500),21.95,No,No
ZOM1071,The Food Factory (CG ),Ahmedabad,Fast Food,Bakery,3.3,574,522,Average (2.5-3.5),Mid-range (300-700),20.97,Yes,No
ZOM1072,Green Leaf Cafe (Haz),Lucknow,Fast Food,Dhaba,4.1,3868,354,Very Good (4.0-4.5),Mid-range (300-700),33.87,Yes,No
ZOM1073,Idli House (Dwa),Delhi,Fast Food,Quick Bites,2.9,4062,422,Average (2.5-3.5),Mid-range (300-700),24.1,Yes,No
ZOM1074,The Grand Kitchen (Par),Kolkata,Thai,Bakery,2.7,4346,737,Average (2.5-3.5),Premium (700-1500),22.62,No,No
ZOM1075,The Pizza Place (Beh),Kolkata,Mexican,Fine Dining,3.0,1846,2420,Average (2.5-3.5),Luxury (1500+),22.56,Yes,Yes
ZOM1076,Masala Magic (Pra),Ahmedabad,Biryani,Delivery Only,2.9,529,711,Average (2.5-3.5),Premium (700-1500),18.19,Yes,No
ZOM1077,Masala Magic (Hit),Hyderabad,Bengali,Dhaba,4.0,2706,670,Good (3.5-4.0),Mid-range (300-700),31.61,Yes,No
ZOM1078,Masala Magic (Vas),Ahmedabad,Mughlai,Delivery Only,5.0,4934,250,Excellent (4.5+),Budget (<300),42.52,Yes,No
ZOM1079,Urban Bites (MI ),Jaipur,Thai,Cafe,3.2,3774,974,Average (2.5-3.5),Premium (700-1500),26.36,Yes,No
ZOM1080,Burger House (CG ),Ahmedabad,Biryani,Food Court,3.8,1153,504,Good (3.5-4.0),Mid-range (300-700),26.79,Yes,No
ZOM1081,The Diner (Cam),Pune,Italian,Delivery Only,3.8,4782,253,Good (3.5-4.0),Budget (<300),32.2,Yes,No
ZOM1082,The Biryani Bowl (Cam),Pune,Thai,Bakery,4.8,2665,204,Excellent (4.5+),Budget (<300),37.86,No,No
ZOM1083,Masala Magic (Ban),Hyderabad,Biryani,Cafe,3.8,4874,1276,Good (3.5-4.0),Premium (700-1500),32.27,Yes,No
ZOM1084,The Curry House (Jub),Hyderabad,Biryani,Food Court,3.6,4369,257,Good (3.5-4.0),Budget (<300),30.18,Yes,No
ZOM1085,The Grand Kitchen (Gac),Hyderabad,Chinese,Delivery Only,3.4,1374,673,Average (2.5-3.5),Mid-range (300-700),24.57,Yes,No
ZOM1086,Olive Garden (Mal),Jaipur,Biryani,Fine Dining,4.9,2843,3164,Excellent (4.5+),Luxury (1500+),38.97,No,No
ZOM1087,The Food Factory (Pra),Ahmedabad,Mexican,Bakery,3.2,1086,712,Average (2.5-3.5),Premium (700-1500),22.37,Yes,No
ZOM1088,Punjabi Tadka (Kar),Delhi,Mexican,Quick Bites,3.9,564,341,Good (3.5-4.0),Mid-range (300-700),24.71,Yes,No
ZOM1089,South Kitchen (Hau),Delhi,South Indian,Dhaba,5.0,585,446,Excellent (4.5+),Mid-range (300-700),31.87,Yes,No
ZOM1090,Bombay Bites (SG ),Ahmedabad,Bengali,Dhaba,2.9,3152,285,Average (2.5-3.5),Budget (<300),23.36,Yes,No
ZOM1091,The Diner (Sec),Hyderabad,Italian,Delivery Only,3.9,3361,419,Good (3.5-4.0),Mid-range (300-700),31.67,Yes,No
ZOM1092,The Pizza Place (MI ),Jaipur,Chinese,Casual Dining,3.5,3123,617,Average (2.5-3.5),Mid-range (300-700),28.16,No,Yes
ZOM1093,Food Junction (Gac),Hyderabad,Biryani,Delivery Only,5.0,2484,540,Excellent (4.5+),Mid-range (300-700),39.09,No,No
ZOM1094,The Pizza Place (Myl),Chennai,Bengali,Cafe,3.4,4651,756,Average (2.5-3.5),Premium (700-1500),28.71,Yes,No
ZOM1095,The Food Factory (T N),Chennai,South Indian,Casual Dining,2.2,2854,1161,Poor (<2.5),Premium (700-1500),17.51,Yes,Yes
ZOM1096,Food Junction (Kar),Delhi,Biryani,Delivery Only,5.0,2494,715,Excellent (4.5+),Premium (700-1500),39.11,No,No
ZOM1097,Tikka Town (Nav),Ahmedabad,Bengali,Casual Dining,3.8,3092,1191,Good (3.5-4.0),Premium (700-1500),30.54,No,Yes
ZOM1098,The Sandwich Shop (Hau),Delhi,Gujarati,Casual Dining,3.6,340,1295,Good (3.5-4.0),Premium (700-1500),20.99,Yes,Yes
ZOM1099,Olive Garden (T N),Chennai,Bengali,Dhaba,3.7,3551,579,Good (3.5-4.0),Mid-range (300-700),30.25,No,No
ZOM1100,The Kebab Studio (Hin),Pune,Mughlai,Quick Bites,5.0,1573,250,Excellent (4.5+),Budget (<300),36.81,Yes,No
ZOM1101,Burger House (Myl),Chennai,Continental,Casual Dining,2.3,3918,1466,Poor (<2.5),Premium (700-1500),19.03,Yes,Yes
ZOM1102,The Pizza Place (MI ),Jaipur,Gujarati,Food Court,3.4,4385,617,Average (2.5-3.5),Mid-range (300-700),28.51,Yes,No
ZOM1103,The Sandwich Shop (Ind),Lucknow,Gujarati,Food Court,3.8,3272,700,Good (3.5-4.0),Mid-range (300-700),30.76,Yes,No
ZOM1104,Royal Feast (Vel),Chennai,Biryani,Food Court,3.3,733,593,Average (2.5-3.5),Mid-range (300-700),21.78,Yes,No
ZOM1105,Urban Bites (Nun),Chennai,North Indian,Dhaba,4.3,2791,298,Very Good (4.0-4.5),Budget (<300),34.12,Yes,No
ZOM1106,Saffron Kitchen (HSR),Bangalore,Biryani,Delivery Only,4.1,2148,236,Very Good (4.0-4.5),Budget (<300),31.46,Yes,No
ZOM1107,Green Leaf Cafe (Hit),Hyderabad,Thai,Fine Dining,3.6,3445,3048,Good (3.5-4.0),Luxury (1500+),29.32,Yes,Yes
ZOM1108,Curry Leaf (Laj),Delhi,Continental,Bakery,4.6,2919,541,Excellent (4.5+),Mid-range (300-700),36.7,Yes,No
ZOM1109,The Kebab Studio (Ami),Lucknow,Gujarati,Food Court,3.7,703,218,Good (3.5-4.0),Budget (<300),24.26,Yes,No
ZOM1110,Burger House (New),Kolkata,Thai,Dhaba,4.0,400,583,Good (3.5-4.0),Mid-range (300-700),23.98,Yes,No
ZOM1111,Spice Garden (Ind),Lucknow,Italian,Dhaba,3.6,4951,705,Good (3.5-4.0),Premium (700-1500),30.63,Yes,No
ZOM1112,Noodle Box (Cam),Pune,Gujarati,Fine Dining,3.8,4985,4495,Good (3.5-4.0),Luxury (1500+),32.35,Yes,No
ZOM1113,The Grand Kitchen (Nav),Ahmedabad,Thai,Food Court,3.1,3227,343,Average (2.5-3.5),Mid-range (300-700),25.05,Yes,No
ZOM1114,South Kitchen (Kar),Delhi,Fast Food,Bakery,3.7,1067,597,Good (3.5-4.0),Mid-range (300-700),25.8,No,No
ZOM1115,The Kebab Studio (Beh),Kolkata,Biryani,Food Court,3.1,3299,332,Average (2.5-3.5),Mid-range (300-700),25.12,Yes,No
ZOM1116,The Pizza Place (T N),Chennai,Biryani,Quick Bites,3.1,737,225,Average (2.5-3.5),Budget (<300),20.47,Yes,No
ZOM1117,Idli House (Ann),Chennai,North Indian,Bakery,3.5,958,691,Average (2.5-3.5),Mid-range (300-700),24.03,Yes,No
ZOM1118,Punjabi Tadka (Aun),Pune,Italian,Dhaba,3.5,3329,367,Average (2.5-3.5),Mid-range (300-700),28.39,Yes,No
ZOM1119,Noodle Box (Ind),Lucknow,Bengali,Cafe,4.5,2998,1194,Very Good (4.0-4.5),Premium (700-1500),36.03,Yes,No
ZOM1120,Tikka Town (SG ),Ahmedabad,Gujarati,Casual Dining,2.6,1545,899,Average (2.5-3.5),Premium (700-1500),19.09,No,Yes
ZOM1121,Olive Garden (SG ),Ahmedabad,Bengali,Delivery Only,3.8,1685,710,Good (3.5-4.0),Premium (700-1500),28.23,No,No
ZOM1122,Desi Zaika (Hit),Hyderabad,Mexican,Quick Bites,2.5,4317,401,Poor (<2.5),Mid-range (300-700),20.93,No,No
ZOM1123,The Curry House (Ann),Chennai,Gujarati,Dhaba,4.4,3491,644,Very Good (4.0-4.5),Mid-range (300-700),35.9,Yes,No
ZOM1124,The Sandwich Shop (Ali),Lucknow,Mexican,Delivery Only,4.3,2219,238,Very Good (4.0-4.5),Budget (<300),33.13,Yes,No
ZOM1125,Olive Garden (Mad),Hyderabad,Fast Food,Fine Dining,3.6,4273,2152,Good (3.5-4.0),Luxury (1500+),30.1,Yes,Yes
ZOM1126,Urban Bites (Dad),Mumbai,Mughlai,Fine Dining,3.9,460,4572,Good (3.5-4.0),Luxury (1500+),23.92,Yes,Yes
ZOM1127,Dosa Point (Jay),Bangalore,Mughlai,Delivery Only,3.1,2001,547,Average (2.5-3.5),Mid-range (300-700),23.57,Yes,No
ZOM1128,Taste of India (Par),Kolkata,Mexican,Quick Bites,2.7,509,461,Average (2.5-3.5),Mid-range (300-700),16.83,Yes,No
ZOM1129,The Grill House (Kar),Delhi,North Indian,Delivery Only,3.1,138,257,Average (2.5-3.5),Budget (<300),15.3,Yes,No
ZOM1130,Royal Feast (Ind),Lucknow,Gujarati,Bakery,3.7,4785,402,Good (3.5-4.0),Mid-range (300-700),31.35,Yes,No
ZOM1131,Olive Garden (Gom),Lucknow,Gujarati,Quick Bites,4.4,1255,296,Very Good (4.0-4.5),Budget (<300),31.4,No,No
ZOM1132,Bombay Bites (Hau),Delhi,North Indian,Casual Dining,5.0,3517,1055,Excellent (4.5+),Premium (700-1500),40.83,No,No
ZOM1133,Punjabi Tadka (Vim),Pune,Mughlai,Dhaba,4.0,475,211,Good (3.5-4.0),Budget (<300),24.66,Yes,No
ZOM1134,Spice Garden (Man),Ahmedabad,Continental,Delivery Only,5.0,362,207,Excellent (4.5+),Budget (<300),29.47,Yes,No
ZOM1135,The Grill House (Gac),Hyderabad,South Indian,Bakery,3.1,4190,515,Average (2.5-3.5),Mid-range (300-700),25.86,Yes,No
ZOM1136,The Diner (Ban),Hyderabad,Mexican,Quick Bites,2.4,544,361,Poor (<2.5),Mid-range (300-700),15.12,Yes,No
ZOM1137,Urban Bites (Sal),Kolkata,Chinese,Cafe,4.0,2961,789,Good (3.5-4.0),Premium (700-1500),31.97,Yes,No
ZOM1138,The Curry House (Sal),Kolkata,Bengali,Casual Dining,3.8,1843,1428,Good (3.5-4.0),Premium (700-1500),28.57,Yes,Yes
ZOM1139,The Grand Kitchen (Dwa),Delhi,North Indian,Fine Dining,4.4,4474,4636,Very Good (4.0-4.5),Luxury (1500+),36.99,Yes,Yes
ZOM1140,Taste of India (Ban),Mumbai,Fast Food,Casual Dining,3.3,228,1226,Average (2.5-3.5),Premium (700-1500),17.93,No,Yes
ZOM1141,Burger House (Ali),Kolkata,Bengali,Quick Bites,4.7,4789,247,Excellent (4.5+),Budget (<300),39.83,Yes,No
ZOM1142,Noodle Box (CG ),Ahmedabad,North Indian,Casual Dining,3.7,409,1396,Good (3.5-4.0),Premium (700-1500),22.26,No,Yes
ZOM1143,Urban Bites (Con),Delhi,Mughlai,Fine Dining,3.7,3641,4224,Good (3.5-4.0),Luxury (1500+),30.34,Yes,No
ZOM1144,Burger House (Kot),Pune,Thai,Delivery Only,3.8,2053,645,Good (3.5-4.0),Mid-range (300-700),28.98,No,No
ZOM1145,Burger House (Man),Jaipur,Italian,Dhaba,4.1,4549,687,Very Good (4.0-4.5),Mid-range (300-700),34.53,Yes,No
ZOM1146,Masala Magic (Vim),Pune,Biryani,Quick Bites,3.1,2086,303,Average (2.5-3.5),Mid-range (300-700),23.69,No,No
ZOM1147,Urban Bites (Sal),Kolkata,Gujarati,Food Court,3.5,254,637,Average (2.5-3.5),Mid-range (300-700),19.39,Yes,No
ZOM1148,Idli House (Dwa),Delhi,Biryani,Bakery,4.4,3967,435,Very Good (4.0-4.5),Mid-range (300-700),36.46,Yes,No
ZOM1149,The Kebab Studio (Kar),Delhi,Mughlai,Dhaba,3.3,3042,600,Average (2.5-3.5),Mid-range (300-700),26.47,Yes,No
ZOM1150,Taste of India (Par),Kolkata,Bengali,Cafe,4.1,3283,474,Very Good (4.0-4.5),Mid-range (300-700),33.2,No,No
ZOM1151,Punjabi Tadka (Mal),Jaipur,South Indian,Delivery Only,4.5,4535,302,Very Good (4.0-4.5),Mid-range (300-700),37.89,Yes,No
ZOM1152,The Grand Kitchen (Ali),Lucknow,Biryani,Delivery Only,3.7,4864,534,Good (3.5-4.0),Mid-range (300-700),31.41,Yes,No
ZOM1153,The Kebab Studio (New),Kolkata,North Indian,Fine Dining,3.9,4547,3517,Good (3.5-4.0),Luxury (1500+),32.85,Yes,Yes
ZOM1154,Green Leaf Cafe (And),Mumbai,Biryani,Cafe,4.8,4349,1419,Excellent (4.5+),Premium (700-1500),40.21,No,No
ZOM1155,The Sandwich Shop (New),Kolkata,Biryani,Bakery,3.8,4642,305,Good (3.5-4.0),Mid-range (300-700),32.08,Yes,No
ZOM1156,The Curry House (Haz),Lucknow,Gujarati,Quick Bites,3.7,2133,489,Good (3.5-4.0),Mid-range (300-700),28.36,No,No
ZOM1157,The Biryani Bowl (Hin),Pune,Italian,Quick Bites,4.3,3036,218,Very Good (4.0-4.5),Budget (<300),34.48,No,No
ZOM1158,Desi Zaika (Man),Jaipur,Fast Food,Casual Dining,2.6,2598,525,Average (2.5-3.5),Mid-range (300-700),20.44,No,Yes
ZOM1159,Bombay Bites (T N),Chennai,Chinese,Delivery Only,4.5,3823,242,Very Good (4.0-4.5),Budget (<300),37.12,Yes,No
ZOM1160,The Grill House (Aun),Pune,Chinese,Dhaba,3.1,3450,480,Average (2.5-3.5),Mid-range (300-700),25.25,Yes,No
ZOM1161,The Pizza Place (Kar),Delhi,Biryani,Casual Dining,4.1,1892,1066,Very Good (4.0-4.5),Premium (700-1500),30.94,Yes,Yes
ZOM1162,Bombay Bites (Ind),Lucknow,Biryani,Dhaba,2.7,1974,204,Average (2.5-3.5),Budget (<300),20.49,Yes,No
ZOM1163,Urban Bites (Jay),Bangalore,Mexican,Bakery,4.1,3905,733,Very Good (4.0-4.5),Premium (700-1500),33.91,No,No
ZOM1164,Green Leaf Cafe (Ind),Lucknow,Thai,Quick Bites,3.3,528,227,Average (2.5-3.5),Budget (<300),20.69,Yes,No
ZOM1165,Saffron Kitchen (Kor),Bangalore,Thai,Quick Bites,2.9,2301,196,Average (2.5-3.5),Budget (<300),22.45,Yes,No
ZOM1166,Flavors Restaurant (Ban),Hyderabad,Chinese,Delivery Only,4.3,4207,452,Very Good (4.0-4.5),Mid-range (300-700),35.88,Yes,No
ZOM1167,The Sandwich Shop (MG ),Bangalore,Mexican,Food Court,3.3,2771,502,Average (2.5-3.5),Mid-range (300-700),26.16,No,No
ZOM1168,Noodle Box (Sal),Kolkata,Mexican,Quick Bites,3.7,643,177,Good (3.5-4.0),Budget (<300),23.93,No,No
ZOM1169,Burger House (Ali),Kolkata,South Indian,Delivery Only,3.7,2130,415,Good (3.5-4.0),Mid-range (300-700),28.36,No,No
ZOM1170,South Kitchen (Ann),Chennai,Gujarati,Quick Bites,4.0,369,387,Good (3.5-4.0),Mid-range (300-700),23.65,No,No
ZOM1171,Masala Magic (Man),Ahmedabad,Gujarati,Cafe,3.2,1536,1205,Average (2.5-3.5),Premium (700-1500),23.48,No,No
ZOM1172,Saffron Kitchen (Nav),Ahmedabad,Mughlai,Quick Bites,3.1,1911,177,Average (2.5-3.5),Budget (<300),23.42,Yes,No
ZOM1173,The Biryani Bowl (Man),Ahmedabad,Thai,Fine Dining,3.1,1981,2796,Average (2.5-3.5),Luxury (1500+),23.53,Yes,Yes
ZOM1174,Urban Bites (Haz),Lucknow,Gujarati,Bakery,3.9,4637,779,Good (3.5-4.0),Premium (700-1500),32.92,Yes,No
ZOM1175,Masala Magic (Ady),Chennai,Biryani,Fine Dining,4.3,71,1732,Very Good (4.0-4.5),Luxury (1500+),18.39,Yes,Yes
ZOM1176,Bombay Bites (Aun),Pune,Bengali,Quick Bites,4.8,2163,260,Excellent (4.5+),Budget (<300),36.86,No,No
ZOM1177,The Biryani Bowl (Kot),Pune,Mughlai,Casual Dining,4.1,4012,1147,Very Good (4.0-4.5),Premium (700-1500),34.02,Yes,No
ZOM1178,Urban Bites (Jub),Hyderabad,Chinese,Fine Dining,4.2,2477,4891,Very Good (4.0-4.5),Luxury (1500+),32.82,Yes,Yes
ZOM1179,Taste of India (Ali),Kolkata,Chinese,Dhaba,3.5,1980,514,Average (2.5-3.5),Mid-range (300-700),26.57,Yes,No
ZOM1180,The Diner (Nav),Ahmedabad,Continental,Bakery,3.3,3817,715,Average (2.5-3.5),Premium (700-1500),27.22,Yes,No
ZOM1181,Bombay Bites (Vas),Ahmedabad,Thai,Cafe,2.8,2402,1222,Average (2.5-3.5),Premium (700-1500),21.8,No,No
ZOM1182,The Food Factory (SG ),Ahmedabad,Continental,Dhaba,3.7,1165,239,Good (3.5-4.0),Budget (<300),26.13,Yes,No
ZOM1183,The Grill House (Pow),Mumbai,Mexican,Bakery,3.1,924,422,Average (2.5-3.5),Mid-range (300-700),21.17,Yes,No
ZOM1184,Tikka Town (Hau),Delhi,Fast Food,Food Court,3.3,472,703,Average (2.5-3.5),Premium (700-1500),20.33,Yes,No
